source_mat_id,ref_code,ref_code_seq,ena_accession_number_sample,ena_accession_number_experiment_metag,ena_accession_number_experiment_metab,ena_accession_number_run_metag,ena_accession_number_run_metab,ena_accession_number_project,ena_accession_number_umbrella,biosamples_accession_number,event_id,old_source_mat_id
EMOBON_AAOT_Wa_66,EMOBON00168,,ERS20569003,ERX14293793,,ERR14888802,,PRJEB50566,PRJEB51688,SAMEA115828486,AAOT_Wa_211214,EMOBON_AAOT_Wa_211214_0.2um_1
EMOBON_AAOT_Wa_67,EMOBON00169,,ERS20569004,ERX14293794,,ERR14888803,,PRJEB50566,PRJEB51688,SAMEA115828487,AAOT_Wa_211214,EMOBON_AAOT_Wa_211214_0.2um_2
EMOBON_BPNS_So_17,EMOBON00140,,ERS20535373,ERX14293766,,ERR14888775,,PRJEB51652,PRJEB51688,SAMEA115809362,BPNS_So_211028,EMOBON_BPNS_So_211028_micro_1
EMOBON_BPNS_So_18,EMOBON00141,,ERS20535374,ERX14293767,,ERR14888776,,PRJEB51652,PRJEB51688,SAMEA115809363,BPNS_So_211028,EMOBON_BPNS_So_211028_micro_2
EMOBON_BPNS_So_33,EMOBON00142,,ERS20535375,ERX14293768,,ERR14888777,,PRJEB51652,PRJEB51688,SAMEA115809364,BPNS_So_211223,EMOBON_BPNS_So_211223_micro_1
EMOBON_BPNS_So_34,EMOBON00143,,ERS20535376,ERX14293769,,ERR14888778,,PRJEB51652,PRJEB51688,SAMEA115809365,BPNS_So_211223,EMOBON_BPNS_So_211223_micro_2
EMOBON_BPNS_Wa_41,EMOBON00130,,ERS20568937,ERX14293758,,ERR14888767,,PRJEB51652,PRJEB51688,SAMEA115828420,BPNS_Wa_211028,EMOBON_BPNS_Wa_211028_3um_1
EMOBON_BPNS_Wa_42,EMOBON00131,,ERS20568938,ERX14293759,,ERR14888768,,PRJEB51652,PRJEB51688,SAMEA115828421,BPNS_Wa_211028,EMOBON_BPNS_Wa_211028_3um_2
EMOBON_BPNS_Wa_46,EMOBON00132,,ERS20568939,ERX14293760,,ERR14888769,,PRJEB51652,PRJEB51688,SAMEA115828422,BPNS_Wa_211028,EMOBON_BPNS_Wa_211028_0.2um_1
EMOBON_BPNS_Wa_47,EMOBON00133,,ERS20568940,ERX14293761,,ERR14888770,,PRJEB51652,PRJEB51688,SAMEA115828423,BPNS_Wa_211028,EMOBON_BPNS_Wa_211028_0.2um_2
EMOBON_BPNS_Wa_61,EMOBON00136,,ERS20568941,ERX14293762,,ERR14888771,,PRJEB51652,PRJEB51688,SAMEA115828424,BPNS_Wa_211223,EMOBON_BPNS_Wa_211223_3um_1
EMOBON_BPNS_Wa_62,EMOBON00137,,ERS20568942,ERX14293763,,ERR14888772,,PRJEB51652,PRJEB51688,SAMEA115828425,BPNS_Wa_211223,EMOBON_BPNS_Wa_211223_3um_2
EMOBON_BPNS_Wa_66,EMOBON00138,,ERS20568943,ERX14293764,,ERR14888773,,PRJEB51652,PRJEB51688,SAMEA115828426,BPNS_Wa_211223,EMOBON_BPNS_Wa_211223_0.2um_1
EMOBON_BPNS_Wa_67,EMOBON00139,,ERS20568944,ERX14293765,,ERR14888774,,PRJEB51652,PRJEB51688,SAMEA115828427,BPNS_Wa_211223,EMOBON_BPNS_Wa_211223_0.2um_2
EMOBON_EMT21_Wa_16,EMOBON00144,,ERS20569034,ERX14293779,,ERR14888788,,PRJEB51653,PRJEB51688,SAMEA115828517,EMT21_Wa_211020,EMOBON_EMT21_Wa_211020_3um_1
